Carimbo de data/hora,Qual sua faixa etária?,Qual seu nível de escolaridade?,Qual sua renda familiar mensal?,A sua última viagem intermunicipal (entre municípios) foi:,A viagem foi realizada em qual período do dia?,Qual o motivo da viagem?,Qual o município de ORIGEM,Qual o município de DESTINO,Qual foi o principal meio de transporte que você usou?,Você precisou fazer alguma integração (trocar de meio de transporte)?,"Se SIM, quais meios de transporte você utilizou além do principal?",Quanto tempo durou a viagem?,Com que frequência você faz essa viagem?,"Na sua opinião, qual a principal melhoria necessária para a mobilidade na sua cidade? (Marque até 2 opções)",Gostaria de deixar algum comentário ou sugestão sobre sua experiência de mobilidade?," Para cada afirmação, selecione a opção que melhor representa seu nível de satisfação sobre as condições de caminhabilidade da região em que você costuma se deslocar a pé.   [Continuidade e ausência de obstáculos nas calçadas?]"," Para cada afirmação, selecione a opção que melhor representa seu nível de satisfação sobre as condições de caminhabilidade da região em que você costuma se deslocar a pé.   [Largura das calçadas para circulação de pedestres?]"," Para cada afirmação, selecione a opção que melhor representa seu nível de satisfação sobre as condições de caminhabilidade da região em que você costuma se deslocar a pé.   [Condições do pavimento das calçadas (buracos, desníveis, aderência)?]"," Para cada afirmação, selecione a opção que melhor representa seu nível de satisfação sobre as condições de caminhabilidade da região em que você costuma se deslocar a pé.   [Presença e qualidade das rampas de acessibilidade nas esquinas?]"," Para cada afirmação, selecione a opção que melhor representa seu nível de satisfação sobre as condições de caminhabilidade da região em que você costuma se deslocar a pé.   [Presença de sombra ao longo do percurso?]"," Para cada afirmação, selecione a opção que melhor representa seu nível de satisfação sobre as condições de caminhabilidade da região em que você costuma se deslocar a pé.   [Integração da caminhada com outros modos de transporte?]"
2025/03/27 12:47:15 PM GMT-3,35 a 44 anos,Ensino Médio completo,Entre 1 e 2 salários mínimos,"Pontual (evento esporádico, como consulta médica, lazer, etc.)",Manhã (5h - 12h),Compras e serviços,Rosário,São Luís,Transporte alternativo - Van,SIM,Táxi,Mais de 2 horas,1 a 3 vezes por mês,"Implantar novas opções de transporte (trem, faixa exclusiva de ônibus, BRT, VLT, metrô, etc.)",,Insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Muito insatisfeito(a),Insatisfeito(a)
2025/03/27 10:05:18 PM GMT-3,18 a 24 anos,Ensino Superior incompleto,Entre 1 e 2 salários mínimos,"Pontual (evento esporádico, como consulta médica, lazer, etc.)",Madrugada (00h - 5h),Lazer,São Luís,Morros,Carro próprio,NAO,,Entre 30 e 60 minutos,Muito raramente,"Implantar novas opções de transporte (trem, faixa exclusiva de ônibus, BRT, VLT, metrô, etc.)",,Neutro,Satisfeito(a),Muito insatisfeito(a),Neutro,Muito insatisfeito(a),Neutro
2025/03/27 11:24:21 PM GMT-3,25 a 34 anos,Ensino Superior completo ou mais,Acima de 10 salários mínimos,"Rotineira (faço regularmente, como trabalho ou estudo)",Manhã (5h - 12h),Trabalho,São Luís,Paço do Lumiar,Carro próprio,NAO,Carro próprio,Entre 30 e 60 minutos,Todos os dias,Melhorar as condições das estradas e ruas,,Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a)
2025/03/28 10:43:20 AM GMT-3,25 a 34 anos,Ensino Superior completo ou mais,Entre 2 e 4 salários mínimos,"Rotineira (faço regularmente, como trabalho ou estudo)",Manhã (5h - 12h),Trabalho,São Luís,São José de Ribamar,Carro próprio,NAO,,Entre 30 e 60 minutos,Todos os dias,"Melhorar as condições das estradas e ruas;Implantar novas opções de transporte (trem, faixa exclusiva de ônibus, BRT, VLT, metrô, etc.)",,Insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Muito insatisfeito(a),Insatisfeito(a),Insatisfeito(a)
2025/03/28 10:44:46 AM GMT-3,45 a 59 anos,Ensino Superior incompleto,Entre 4 e 10 salários mínimos,"Pontual (evento esporádico, como consulta médica, lazer, etc.)",Manhã (5h - 12h),Lazer,Raposa,Icatu,Carro próprio,NAO,,Mais de 2 horas,Muito raramente,"Implantar novas opções de transporte (trem, faixa exclusiva de ônibus, BRT, VLT, metrô, etc.)",Criar novas opções de modais de transporte ajudaria a tirar mais carros das ruas e melhorar em muitas áreas.,Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a)
2025/03/28 11:03:34 AM GMT-3,25 a 34 anos,Ensino Superior completo ou mais,Entre 1 e 2 salários mínimos,"Pontual (evento esporádico, como consulta médica, lazer, etc.)",Manhã (5h - 12h),Lazer,São José de Ribamar,Barreirinhas ,Carro próprio,NAO,,Mais de 2 horas,Muito raramente,Melhorar as condições das estradas e ruas,,Insatisfeito(a),Insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Neutro,Insatisfeito(a)
2025/03/28 11:11:08 AM GMT-3,25 a 34 anos,Ensino Superior completo ou mais,Entre 1 e 2 salários mínimos,"Rotineira (faço regularmente, como trabalho ou estudo)",Manhã (5h - 12h),Trabalho,São José de Ribamar,São Luís,Moto própria,NAO,Ônibus,Entre 30 e 60 minutos,3 a 5 vezes por semana,"Melhorar as condições das estradas e ruas;Implantar novas opções de transporte (trem, faixa exclusiva de ônibus, BRT, VLT, metrô, etc.)",,Insatisfeito(a),Muito insatisfeito(a),Insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Insatisfeito(a)
2025/03/28 11:44:48 AM GMT-3,18 a 24 anos,Ensino Superior incompleto,Entre 1 e 2 salários mínimos,"Pontual (evento esporádico, como consulta médica, lazer, etc.)",Tarde (12h - 18h),Visita a amigos/familiares,Arari,São Luís,Trem,SIM,Carro próprio,Mais de 2 horas,Muito raramente,"Aumentar a frota e frequência dos ônibus;Melhorar as condições das estradas e ruas;Melhorar a segurança no transporte público;Implantar novas opções de transporte (trem, faixa exclusiva de ônibus, BRT, VLT, metrô, etc.)",,Insatisfeito(a),Muito insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Satisfeito(a)
2025/03/28 2:38:45 PM GMT-3,45 a 59 anos,Ensino Superior completo ou mais,Acima de 10 salários mínimos,"Rotineira (faço regularmente, como trabalho ou estudo)",Tarde (12h - 18h),Trabalho,São Luís,Alcântara,Barco / lancha,NAO,,Entre 1 e 2 horas,1 a 2 vezes por semana,Melhorar a infraestrutura portuária e de embarcações ,"A travessia slz - alk é muito desconfortável, tem baixa acessibilidade e é insegura.",Insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Insatisfeito(a)
2025/03/28 5:01:18 PM GMT-3,25 a 34 anos,Ensino Superior completo ou mais,Acima de 10 salários mínimos,"Rotineira (faço regularmente, como trabalho ou estudo)",Manhã (5h - 12h),Trabalho,São Luís,São José de Ribamar,Carro próprio,NAO,,Entre 30 e 60 minutos,3 a 5 vezes por semana,Melhorar as condições das estradas e ruas,,Insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Insatisfeito(a)
2025/03/31 8:56:36 AM GMT-3,25 a 34 anos,Ensino Superior completo ou mais,Entre 4 e 10 salários mínimos,"Rotineira (faço regularmente, como trabalho ou estudo)",Manhã (5h - 12h),Trabalho,São José de Ribamar,São Luís,Ônibus,SIM,"Transporte por aplicativo (Uber, 99);Carona com alguém",Entre 1 e 2 horas,Todos os dias,"Aumentar a frota e frequência dos ônibus;Implantar novas opções de transporte (trem, faixa exclusiva de ônibus, BRT, VLT, metrô, etc.)",,Insatisfeito(a),Neutro,Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a)
2025/03/31 7:54:23 PM GMT-3,18 a 24 anos,Ensino Superior incompleto,Entre 2 e 4 salários mínimos,"Rotineira (faço regularmente, como trabalho ou estudo)",Manhã (5h - 12h),Trabalho,São José de Ribamar,São Luís,Ônibus,NAO,,Entre 30 e 60 minutos,Todos os dias,"Aumentar a frota e frequência dos ônibus;Melhorar as condições das estradas e ruas;Implantar novas opções de transporte (trem, faixa exclusiva de ônibus, BRT, VLT, metrô, etc.)",No momento não ,Muito insatisfeito(a),Neutro,Muito insatisfeito(a),Insatisfeito(a),Muito insatisfeito(a),Neutro
2025/04/01 8:39:05 AM GMT-3,18 a 24 anos,Ensino Médio completo,Entre 1 e 2 salários mínimos,"Pontual (evento esporádico, como consulta médica, lazer, etc.)",Madrugada (00h - 5h),Visita a amigos/familiares,São Luís,Santa helena,Transporte alternativo - Van,NAO,,Mais de 2 horas,Muito raramente,"Melhorar as condições das estradas e ruas;Implantar novas opções de transporte (trem, faixa exclusiva de ônibus, BRT, VLT, metrô, etc.)",,Neutro,Insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Insatisfeito(a)
2025/04/01 11:24:35 AM GMT-3,45 a 59 anos,Ensino Médio completo,Entre 4 e 10 salários mínimos,,Manhã (5h - 12h),Trabalho,São Luís,Axixá,Carro próprio,NAO,,Entre 1 e 2 horas,1 a 3 vezes por mês,Aumentar a frota e frequência dos ônibus,,Insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Insatisfeito(a)
2025/04/01 1:13:25 PM GMT-3,25 a 34 anos,Ensino Superior incompleto,Entre 1 e 2 salários mínimos,"Rotineira (faço regularmente, como trabalho ou estudo)",Tarde (12h - 18h),Trabalho,Morros,São Luís,Ônibus,SIM,Carona com alguém,Entre 1 e 2 horas,1 a 2 vezes por semana,Aumentar a frota e frequência dos ônibus;Melhorar a segurança no transporte público;Diminuir o custo da passagem,,Neutro,Insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Neutro,Neutro
2025/04/01 4:42:56 PM GMT-3,25 a 34 anos,Ensino Superior completo ou mais,Entre 2 e 4 salários mínimos,"Rotineira (faço regularmente, como trabalho ou estudo)",Manhã (5h - 12h),Visita a amigos/familiares,São Luís,Axixá,Carro próprio,SIM,Ônibus;Transporte alternativo - Van;Transporte alternativo - Carro,Entre 1 e 2 horas,1 a 3 vezes por mês,Aumentar a frota e frequência dos ônibus;Melhorar as condições das estradas e ruas;Melhorar a segurança no transporte público,,Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a)
2025/04/03 4:15:29 PM GMT-3,35 a 44 anos,Ensino Superior completo ou mais,Entre 4 e 10 salários mínimos,"Rotineira (faço regularmente, como trabalho ou estudo)",Tarde (12h - 18h),Trabalho,São Luís,São Luís,Carro próprio,NAO,,Entre 30 e 60 minutos,3 a 5 vezes por semana,Aumentar a frota e frequência dos ônibus;Melhorar as condições das estradas e ruas;Criar mais ciclovias e faixas para pedestres;Melhorar a segurança no transporte público,,Insatisfeito(a),Satisfeito(a),Insatisfeito(a),Insatisfeito(a),Satisfeito(a),Satisfeito(a)
2025/04/03 8:20:52 PM GMT-3,25 a 34 anos,Ensino Superior incompleto,Entre 2 e 4 salários mínimos,"Rotineira (faço regularmente, como trabalho ou estudo)",Manhã (5h - 12h),Trabalho,São Luís,São Luís,Ônibus,NAO,,Entre 30 e 60 minutos,3 a 5 vezes por semana,"Criar mais ciclovias e faixas para pedestres;Implantar novas opções de transporte (trem, faixa exclusiva de ônibus, BRT, VLT, metrô, etc.)",,Insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Insatisfeito(a)
2025/04/03 8:25:24 PM GMT-3,25 a 34 anos,Ensino Superior completo ou mais,Entre 2 e 4 salários mínimos,"Pontual (evento esporádico, como consulta médica, lazer, etc.)",Tarde (12h - 18h),Trabalho,São Luís,Santa Inês ,Ônibus,NAO,,Mais de 2 horas,Muito raramente,Aumentar a frota e frequência dos ônibus;Melhorar as condições das estradas e ruas,,Insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Insatisfeito(a)
2025/04/03 10:23:45 PM GMT-3,18 a 24 anos,Ensino Superior completo ou mais,Até 1 salário mínimo,"Rotineira (faço regularmente, como trabalho ou estudo)",Tarde (12h - 18h),Trabalho,Paço do Lumiar,São Luís,Ônibus,NAO,,Entre 1 e 2 horas,Todos os dias,"Aumentar a frota e frequência dos ônibus;Melhorar as condições das estradas e ruas;Criar mais ciclovias e faixas para pedestres;Melhorar a segurança no transporte público;Diminuir o custo da passagem;Implantar novas opções de transporte (trem, faixa exclusiva de ônibus, BRT, VLT, metrô, etc.)",,Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a)
2025/04/04 11:42:41 AM GMT-3,18 a 24 anos,Ensino Superior incompleto,Até 1 salário mínimo,"Rotineira (faço regularmente, como trabalho ou estudo)",Manhã (5h - 12h),Trabalho,São Luís,Raposa,Ônibus,SIM,"Transporte por aplicativo (Uber, 99)",Entre 1 e 2 horas,3 a 5 vezes por semana,"Aumentar a frota e frequência dos ônibus;Melhorar as condições das estradas e ruas;Criar mais ciclovias e faixas para pedestres;Melhorar a segurança no transporte público;Implantar novas opções de transporte (trem, faixa exclusiva de ônibus, BRT, VLT, metrô, etc.);instalação de ferroarias","esta faltando segurança nos ônibus, ônibus todos lotados, falta mais investimento em infraestrutura no transito e mais fiscalizações ",Muito satisfeito(a),Insatisfeito(a),Muito insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Insatisfeito(a)
2025/04/04 9:31:20 PM GMT-3,25 a 34 anos,Ensino Superior completo ou mais,Prefiro não dizer,"Rotineira (faço regularmente, como trabalho ou estudo)",Noite (18h - 00h),Estudo,Paço do Lumiar,São Luís,Ônibus,SIM,Ônibus,Mais de 2 horas,Todos os dias,"Aumentar a frota e frequência dos ônibus;Melhorar as condições das estradas e ruas;Criar mais ciclovias e faixas para pedestres;Melhorar a segurança no transporte público;Implantar novas opções de transporte (trem, faixa exclusiva de ônibus, BRT, VLT, metrô, etc.)","Infelizmente minhas experiências são negativas, principalmente quando se trata de quanto tempo eu passo dentro de um ônibus, o trajeto que faço todos os dias trabalho/serviço leva aproximadamente 3 horas para chegar ao local pretendido e mais 3 horas para o retorno, durante um período de 5 vezes dias na semana, totalizando aproximadamente 30 horas semanais, equivale a cada semana eu passo aproximadamente 1 dia e 6 horas dentro de um ônibus, calculando durante 1 mês, equivale a aproximadamente 5 dias dentro do transporte público, e durante 1 ano, o resultado é assustador, passo aproximadamente 60 dias dentro do transporte público de São Luís. E já pensei várias vezes em desistir da faculdade por causa do transporte e nem acrescento os serviços que deixei de aceitar por conta da mobilidade que infelizmente precisa melhorar muito e quanto antes, pois a população está sedenta por algo que a constituição de 1988 diz ser um direito nosso. ",Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a)
2025/04/05 2:17:06 PM GMT-3,25 a 34 anos,Ensino Superior completo ou mais,Entre 2 e 4 salários mínimos,"Pontual (evento esporádico, como consulta médica, lazer, etc.)",Noite (18h - 00h),Trabalho,Paço do Lumiar,São Luís,Ônibus,NAO,,Entre 15 e 30 minutos,Muito raramente,Aumentar a frota e frequência dos ônibus;Melhorar a segurança no transporte público,,Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a)
2025/04/05 3:28:07 PM GMT-3,25 a 34 anos,Ensino Superior incompleto,Até 1 salário mínimo,"Rotineira (faço regularmente, como trabalho ou estudo)",Manhã (5h - 12h),Estudo,São Luís,São Luís,Ônibus,SIM,Ônibus,Mais de 2 horas,Todos os dias,Aumentar a frota e frequência dos ônibus,"Meu comentário sobre a respeito dos ônibus a demora é muito grande , além disso algumas ruas estão precárias ",Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a)
2025/04/05 3:37:10 PM GMT-3,18 a 24 anos,Ensino Superior incompleto,Entre 4 e 10 salários mínimos,"Rotineira (faço regularmente, como trabalho ou estudo)",Manhã (5h - 12h),Estudo,São Luís,São Luís,"Transporte por aplicativo (Uber, 99)",NAO,,Entre 15 e 30 minutos,Muito raramente,Aumentar a frota e frequência dos ônibus;Melhorar as condições das estradas e ruas;Melhorar a segurança no transporte público,,Muito insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Muito insatisfeito(a)
2025/04/05 7:13:16 PM GMT-3,18 a 24 anos,Ensino Médio completo,Prefiro não dizer,"Pontual (evento esporádico, como consulta médica, lazer, etc.)",Manhã (5h - 12h),Lazer,São Luís,Raposa,Carro próprio,NAO,,Entre 30 e 60 minutos,Muito raramente,Melhorar as condições das estradas e ruas;Melhorar a segurança no transporte público,,Insatisfeito(a),Neutro,Muito insatisfeito(a),Neutro,Neutro,Neutro
2025/04/05 7:57:45 PM GMT-3,18 a 24 anos,Ensino Superior incompleto,Prefiro não dizer,"Rotineira (faço regularmente, como trabalho ou estudo)",Manhã (5h - 12h),Estudo,São Luís,São Luís,Ônibus,NAO,,Entre 1 e 2 horas,3 a 5 vezes por semana,"Melhorar a segurança no transporte público;Implantar novas opções de transporte (trem, faixa exclusiva de ônibus, BRT, VLT, metrô, etc.)",,Neutro,Muito insatisfeito(a),Muito insatisfeito(a),Insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a)
2025/04/05 9:00:29 PM GMT-3,18 a 24 anos,Ensino Superior incompleto,Entre 4 e 10 salários mínimos,"Pontual (evento esporádico, como consulta médica, lazer, etc.)",Madrugada (00h - 5h),Lazer,São Luís,Morros,Carro próprio,NAO,Carro próprio,Entre 1 e 2 horas,Muito raramente,"Aumentar a frota e frequência dos ônibus;Melhorar as condições das estradas e ruas;Implantar novas opções de transporte (trem, faixa exclusiva de ônibus, BRT, VLT, metrô, etc.)",,Insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Muito insatisfeito(a),Insatisfeito(a),Muito insatisfeito(a)
2025/04/05 10:17:53 PM GMT-3,18 a 24 anos,Ensino Superior incompleto,Até 1 salário mínimo,"Pontual (evento esporádico, como consulta médica, lazer, etc.)",Tarde (12h - 18h),Visita a amigos/familiares,São Luís,Viana ,Carona com alguém,NAO,,Mais de 2 horas,Muito raramente,"Melhorar as condições das estradas e ruas;Implantar novas opções de transporte (trem, faixa exclusiva de ônibus, BRT, VLT, metrô, etc.)",,Insatisfeito(a),Neutro,Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a)
2025/04/07 9:45:22 AM GMT-3,35 a 44 anos,Ensino Superior completo ou mais,Entre 4 e 10 salários mínimos,"Pontual (evento esporádico, como consulta médica, lazer, etc.)",Manhã (5h - 12h),Visita a amigos/familiares,São José de Ribamar,São Luís,Ônibus,SIM,Carro próprio;Moto própria,Entre 30 e 60 minutos,Muito raramente,"Melhorar as condições das estradas e ruas;Implantar novas opções de transporte (trem, faixa exclusiva de ônibus, BRT, VLT, metrô, etc.)",Convênios entre os municípios. ,Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a)
2025/04/07 9:45:34 AM GMT-3,25 a 34 anos,Ensino Superior completo ou mais,Entre 1 e 2 salários mínimos,"Rotineira (faço regularmente, como trabalho ou estudo)",Manhã (5h - 12h),Trabalho,São Luís,Icatu,Carro próprio,NAO,,Entre 1 e 2 horas,Muito raramente,Aumentar a frota e frequência dos ônibus;Melhorar as condições das estradas e ruas,,Insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Insatisfeito(a)
2025/04/07 10:14:59 AM GMT-3,25 a 34 anos,Ensino Superior incompleto,Entre 1 e 2 salários mínimos,"Rotineira (faço regularmente, como trabalho ou estudo)",Manhã (5h - 12h),Visita a amigos/familiares,São Luís,Carutapera,Carro próprio,NAO,,Mais de 2 horas,Muito raramente,Melhorar as condições das estradas e ruas,,Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Insatisfeito(a),Muito insatisfeito(a)
2025/04/09 2:48:32 PM GMT-3,25 a 34 anos,Ensino Superior incompleto,Entre 1 e 2 salários mínimos,"Rotineira (faço regularmente, como trabalho ou estudo)",Manhã (5h - 12h),Estudo,Paço do Lumiar,São Luís,Ônibus,NAO,,Entre 1 e 2 horas,3 a 5 vezes por semana,"Aumentar a frota e frequência dos ônibus;Implantar novas opções de transporte (trem, faixa exclusiva de ônibus, BRT, VLT, metrô, etc.)",Sugiro aumentar a quantidade de ônibus em horários de pico: das 6:30 às 8:30 (ida) e das 17h às 20h (volta pra casa). Isso reduziria o tempo de espera nas paradas e os transtornos com ônibus lotados.,Muito insatisfeito(a),Neutro,Insatisfeito(a),Muito insatisfeito(a),Neutro,Neutro
2025/04/14 7:15:51 PM GMT-3,18 a 24 anos,Ensino Médio completo,Até 1 salário mínimo,"Pontual (evento esporádico, como consulta médica, lazer, etc.)",Tarde (12h - 18h),Compras e serviços,Icatu,São Luís,Ônibus,SIM,Ônibus,Entre 1 e 2 horas,1 a 2 vezes por semana,Melhorar as condições das estradas e ruas,,Insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Neutro,Satisfeito(a),Insatisfeito(a)
2025/04/14 9:04:05 PM GMT-3,25 a 34 anos,Ensino Médio completo,Prefiro não dizer,"Pontual (evento esporádico, como consulta médica, lazer, etc.)",Manhã (5h - 12h),Visita a amigos/familiares,Icatu,São Luís,Ônibus,SIM,Transporte alternativo - Van,Entre 30 e 60 minutos,Muito raramente,Melhorar as condições das estradas e ruas;Diminuir o custo da passagem,,Muito insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Muito insatisfeito(a)
2025/04/15 10:21:32 AM GMT-3,25 a 34 anos,Ensino Superior incompleto,Entre 1 e 2 salários mínimos,"Pontual (evento esporádico, como consulta médica, lazer, etc.)",Tarde (12h - 18h),Compras e serviços,Presidente Juscelino,São Luís,Transporte alternativo - Van,SIM,Transporte alternativo - Carro,Entre 1 e 2 horas,1 a 2 vezes por semana,Aumentar a frota e frequência dos ônibus;Diminuir o custo da passagem,,Neutro,Insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Satisfeito(a),Neutro
2025/04/24 6:16:31 PM GMT-3,18 a 24 anos,Ensino Médio completo,Prefiro não dizer,"Rotineira (faço regularmente, como trabalho ou estudo)",Tarde (12h - 18h),Lazer,Cachoeira Grande,Cachoeira Grande,Carona com alguém,NAO,Moto própria,Entre 1 e 2 horas,Muito raramente,"Melhorar as condições das estradas e ruas;Implantar novas opções de transporte (trem, faixa exclusiva de ônibus, BRT, VLT, metrô, etc.)","Ao meio respeito, eu queria a melhoria na mobilidade de transportes, e a ter uma melhoria nas estradas.",Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Insatisfeito(a),Muito insatisfeito(a)
2025/04/24 6:28:01 PM GMT-3,45 a 59 anos,Ensino Médio completo,Até 1 salário mínimo,"Pontual (evento esporádico, como consulta médica, lazer, etc.)",Manhã (5h - 12h),"Saúde (consultas médicas, exames)",Cachoeira Grande,São Luís,Transporte alternativo - Van,NAO,Ônibus;Moto-táxi,Entre 30 e 60 minutos,Muito raramente,Melhorar as condições das estradas e ruas;Diminuir o custo da passagem,"Melhoria da ruas, não só urbana, mais como rural.",Insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a)
2025/04/25 10:12:44 AM GMT-3,45 a 59 anos,Ensino Superior completo ou mais,Entre 4 e 10 salários mínimos,"Rotineira (faço regularmente, como trabalho ou estudo)",Manhã (5h - 12h),Trabalho,São Luís,São José de Ribamar,Carro próprio,NAO,,Entre 1 e 2 horas,Muito raramente,Melhorar as condições das estradas e ruas,,Insatisfeito(a),Insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Insatisfeito(a),Insatisfeito(a)
2025/04/25 7:58:09 PM GMT-3,35 a 44 anos,Ensino Médio completo,Até 1 salário mínimo,"Rotineira (faço regularmente, como trabalho ou estudo)",Tarde (12h - 18h),Trabalho,Cachoeira Grande,Morros,Moto própria,NAO,Moto própria,Menos de 15 minutos,1 a 3 vezes por mês,Melhorar as condições das estradas e ruas;Melhorar a segurança no transporte público,Melhorar a segurança e as ruas.,Insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Insatisfeito(a)
2025/04/25 8:02:37 PM GMT-3,18 a 24 anos,Ensino Médio completo,Até 1 salário mínimo,"Rotineira (faço regularmente, como trabalho ou estudo)",Tarde (12h - 18h),Trabalho,Cachoeira Grande,São Luís,Carro próprio,NAO,Moto própria,Entre 1 e 2 horas,3 a 5 vezes por semana,Melhorar as condições das estradas e ruas;Criar mais ciclovias e faixas para pedestres,"Precisa de iluminação pública, para ter mais mobilidade com o transporte e melhorias das ruas.",Muito insatisfeito(a),Insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a)
2025/04/25 10:41:29 PM GMT-3,35 a 44 anos,Ensino Médio completo,Até 1 salário mínimo,"Rotineira (faço regularmente, como trabalho ou estudo)",Manhã (5h - 12h),Compras e serviços,Cachoeira Grande,Rosário,Transporte alternativo - Van,NAO,Moto própria,Mais de 2 horas,Muito raramente,"Melhorar as condições das estradas e ruas;Implantar novas opções de transporte (trem, faixa exclusiva de ônibus, BRT, VLT, metrô, etc.)",Não ,Insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Insatisfeito(a)
2025/04/25 10:48:07 PM GMT-3,Menos de 18 anos,Ensino Fundamental completo,Prefiro não dizer,"Pontual (evento esporádico, como consulta médica, lazer, etc.)",Tarde (12h - 18h),Lazer,Cachoeira Grande,São Simão,Ônibus,NAO,Moto própria,Entre 1 e 2 horas,Muito raramente,"Melhorar as condições das estradas e ruas;Implantar novas opções de transporte (trem, faixa exclusiva de ônibus, BRT, VLT, metrô, etc.)","Precisa melhorar as ruas, e ser mais fácil de andar com transporte.",Insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Muito insatisfeito(a),Insatisfeito(a)
2025/04/26 2:25:41 PM GMT-3,Menos de 18 anos,Ensino Médio incompleto,Entre 1 e 2 salários mínimos,"Pontual (evento esporádico, como consulta médica, lazer, etc.)",Manhã (5h - 12h),Visita a amigos/familiares,Cachoeira Grande,Cachoeira Grande,Carona com alguém,SIM,Carona com alguém,Mais de 2 horas,Muito raramente,Melhorar as condições das estradas e ruas,Não ,Insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Insatisfeito(a)
2025/04/26 2:30:18 PM GMT-3,45 a 59 anos,Ensino Fundamental incompleto,Entre 1 e 2 salários mínimos,"Rotineira (faço regularmente, como trabalho ou estudo)",Manhã (5h - 12h),Trabalho,Cachoeira Grande,Cabeça Danta,Moto própria,SIM,Carona com alguém,Mais de 2 horas,Todos os dias,"Melhorar as condições das estradas e ruas;Implantar novas opções de transporte (trem, faixa exclusiva de ônibus, BRT, VLT, metrô, etc.)","Melhoria das ruas, de Cachoeira Grande.",Insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a)
