Carimbo de data/hora,Qual sua faixa etária?,Qual seu nível de escolaridade?,Qual sua renda familiar mensal?,A sua última viagem intermunicipal (entre municípios) foi:,A viagem foi realizada em qual período do dia?,Qual o motivo da viagem?,Qual o município de ORIGEM,Qual o município de DESTINO,Qual foi o principal meio de transporte que você usou?,Você precisou fazer alguma integração (trocar de meio de transporte)?,"Se SIM, quais meios de transporte você utilizou além do principal?",Quanto tempo durou a viagem?,Com que frequência você faz essa viagem?,"Na sua opinião, qual a principal melhoria necessária para a mobilidade na sua cidade? (Marque até 2 opções)",Gostaria de deixar algum comentário ou sugestão sobre sua experiência de mobilidade?," Para cada afirmação, selecione a opção que melhor representa seu nível de satisfação sobre as condições de caminhabilidade da região em que você costuma se deslocar a pé.   [Continuidade e ausência de obstáculos nas calçadas?]"," Para cada afirmação, selecione a opção que melhor representa seu nível de satisfação sobre as condições de caminhabilidade da região em que você costuma se deslocar a pé.   [Largura das calçadas para circulação de pedestres?]"," Para cada afirmação, selecione a opção que melhor representa seu nível de satisfação sobre as condições de caminhabilidade da região em que você costuma se deslocar a pé.   [Condições do pavimento das calçadas (buracos, desníveis, aderência)?]"," Para cada afirmação, selecione a opção que melhor representa seu nível de satisfação sobre as condições de caminhabilidade da região em que você costuma se deslocar a pé.   [Presença e qualidade das rampas de acessibilidade nas esquinas?]"," Para cada afirmação, selecione a opção que melhor representa seu nível de satisfação sobre as condições de caminhabilidade da região em que você costuma se deslocar a pé.   [Presença de sombra ao longo do percurso?]"," Para cada afirmação, selecione a opção que melhor representa seu nível de satisfação sobre as condições de caminhabilidade da região em que você costuma se deslocar a pé.   [Integração da caminhada com outros modos de transporte?]"
2025/03/22 7:46:05 PM GMT-3,25 a 34 anos,Ensino Superior completo ou mais,Entre 4 e 10 salários mínimos,"Pontual (evento esporádico, como consulta médica, lazer, etc.)",Manhã (5h - 12h),Lazer,São Luís,Barreirinhas,Carro próprio,NAO,,Mais de 2 horas,Muito raramente,"Melhorar as condições das estradas e ruas;Implantar novas opções de transporte (trem, faixa exclusiva de ônibus, BRT, VLT, metrô, etc.)",,Muito insatisfeito(a),Insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Insatisfeito(a),Insatisfeito(a)
2025/03/22 8:00:52 PM GMT-3,18 a 24 anos,Ensino Superior incompleto,Até 1 salário mínimo,"Rotineira (faço regularmente, como trabalho ou estudo)",Manhã (5h - 12h),Estudo,Paço do Lumiar,São Luís,Ônibus,NAO,,Entre 1 e 2 horas,Todos os dias,"Aumentar a frota e frequência dos ônibus;Melhorar as condições das estradas e ruas;Melhorar a segurança no transporte público;Implantar novas opções de transporte (trem, faixa exclusiva de ônibus, BRT, VLT, metrô, etc.)",,Insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a)
2025/03/22 8:14:05 PM GMT-3,35 a 44 anos,Ensino Superior completo ou mais,Entre 4 e 10 salários mínimos,"Pontual (evento esporádico, como consulta médica, lazer, etc.)",Manhã (5h - 12h),Lazer,São Luís,São José de Ribamar,Carro próprio,NAO,Carro próprio,Entre 15 e 30 minutos,Muito raramente,"Implantar novas opções de transporte (trem, faixa exclusiva de ônibus, BRT, VLT, metrô, etc.)",,Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a)
2025/03/22 8:26:23 PM GMT-3,25 a 34 anos,Ensino Superior completo ou mais,Entre 4 e 10 salários mínimos,"Pontual (evento esporádico, como consulta médica, lazer, etc.)",Noite (18h - 00h),Visita a amigos/familiares,São Luís,Santa Inês ,Carro próprio,NAO,,Mais de 2 horas,Muito raramente,"Aumentar a frota e frequência dos ônibus;Melhorar as condições das estradas e ruas;Criar mais ciclovias e faixas para pedestres;Melhorar a segurança no transporte público;Diminuir o custo da passagem;Implantar novas opções de transporte (trem, faixa exclusiva de ônibus, BRT, VLT, metrô, etc.)",,Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a)
2025/03/22 8:33:36 PM GMT-3,45 a 59 anos,Ensino Superior completo ou mais,Prefiro não dizer,"Pontual (evento esporádico, como consulta médica, lazer, etc.)",Manhã (5h - 12h),Lazer,São Luís,São Luís,Carro próprio,NAO,,Entre 15 e 30 minutos,Todos os dias,"Implantar novas opções de transporte (trem, faixa exclusiva de ônibus, BRT, VLT, metrô, etc.)",,Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a)
2025/03/22 8:38:46 PM GMT-3,35 a 44 anos,Ensino Superior completo ou mais,Acima de 10 salários mínimos,"Pontual (evento esporádico, como consulta médica, lazer, etc.)",Manhã (5h - 12h),Lazer,São Luís,Raposa,Carro próprio,NAO,,Entre 30 e 60 minutos,Muito raramente,"Aumentar a frota e frequência dos ônibus;Melhorar as condições das estradas e ruas;Criar mais ciclovias e faixas para pedestres;Melhorar a segurança no transporte público;Diminuir o custo da passagem;Implantar novas opções de transporte (trem, faixa exclusiva de ônibus, BRT, VLT, metrô, etc.)",,Neutro,Neutro,Neutro,Insatisfeito(a),Insatisfeito(a),Neutro
2025/03/22 9:26:37 PM GMT-3,25 a 34 anos,Ensino Superior completo ou mais,Entre 2 e 4 salários mínimos,"Pontual (evento esporádico, como consulta médica, lazer, etc.)",Noite (18h - 00h),Visita a amigos/familiares,São Luís,Tutoia ,Ônibus,NAO,,Mais de 2 horas,1 a 3 vezes por mês,"Aumentar a frota e frequência dos ônibus;Melhorar a segurança no transporte público;Implantar novas opções de transporte (trem, faixa exclusiva de ônibus, BRT, VLT, metrô, etc.)",,Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a)
2025/03/22 9:50:39 PM GMT-3,35 a 44 anos,Ensino Superior completo ou mais,Prefiro não dizer,"Rotineira (faço regularmente, como trabalho ou estudo)",Manhã (5h - 12h),Trabalho,São Luís,São José de Ribamar,Carro próprio,NAO,,Entre 30 e 60 minutos,3 a 5 vezes por semana,Melhorar as condições das estradas e ruas;Criar mais ciclovias e faixas para pedestres,,Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a)
2025/03/24 9:22:24 AM GMT-3,25 a 34 anos,Ensino Superior completo ou mais,Entre 2 e 4 salários mínimos,"Pontual (evento esporádico, como consulta médica, lazer, etc.)",Madrugada (00h - 5h),Lazer,São Luís,Morros,"Transporte por aplicativo (Uber, 99)",SIM,Transporte alternativo - Carro,Mais de 2 horas,Muito raramente,"Implantar novas opções de transporte (trem, faixa exclusiva de ônibus, BRT, VLT, metrô, etc.)","Sempre preciso contara com empresas que fazem essa transferência, e além do serviço ser de má qualidade, os preços são abusivos. Deveria existir alguma forma mais barata e eficiente para se viajar dentro da RMGSL. Como uma malha ferroviaria com trem de passageiros com rotas diárias, e claro, um transporte mais adequado nas cidades para conseguir se locomover de forma mais fácil.",Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Insatisfeito(a)
2025/03/26 7:20:28 PM GMT-3,35 a 44 anos,Ensino Superior completo ou mais,Entre 2 e 4 salários mínimos,"Pontual (evento esporádico, como consulta médica, lazer, etc.)",Manhã (5h - 12h),Lazer,São Luís,São José de Ribamar,Carro próprio,NAO,,Entre 30 e 60 minutos,Muito raramente,"Aumentar a frota e frequência dos ônibus;Melhorar as condições das estradas e ruas;Criar mais ciclovias e faixas para pedestres;Melhorar a segurança no transporte público;Diminuir o custo da passagem;Implantar novas opções de transporte (trem, faixa exclusiva de ônibus, BRT, VLT, metrô, etc.)",,Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a),Muito insatisfeito(a)
